"","WR","type","base","year","value","impacts"
"2680","Brazil","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2006",-12.3002575471389,"Production impacts"
"2729","Brazil","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2006",-12.5217453047893,"Production impacts"
"2778","Brazil","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2007",-17.0929239012442,"Production impacts"
"2827","Brazil","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2007",-16.4910167620195,"Production impacts"
"2876","Brazil","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2008",-20.5490790493586,"Production impacts"
"2925","Brazil","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2008",-20.7317073170732,"Production impacts"
"2974","Brazil","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2009",-20.2193839036203,"Production impacts"
"3023","Brazil","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2009",-20.6249003666507,"Production impacts"
"3072","Brazil","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2010",-25.6289962412876,"Production impacts"
"3121","Brazil","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2010",-24.9896148596522,"Production impacts"
"3170","Brazil","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2011",-26.8687444096559,"Production impacts"
"3219","Brazil","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2011",-24.7189067635357,"Production impacts"
"3","Bulgaria","gdp_cap","Biodiversity impacts (bird sp lost)","2001",5.73875569609641,"Production impacts"
